Area,Bathroom,Furnishing,Parking,Status,Transaction,Type,Per_Sqft,Price_per_sqft,Price
0.2624065261726716,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.3777751110044402,0.0936937249929068,0.1182795698924731
0.2454112848402447,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.2000080003200128,0.0690707611400666,0.086021505376344
0.3133922501699523,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.2000080003200128,0.2374218036910884,0.3118279569892473
0.1944255608429639,0.3333333333333333,0.5,0.0,1.0,1.0,1.0,0.2000080003200128,0.0576153144717596,0.0688172043010752
0.2114208021753909,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.2000080003200128,0.0923114055730543,0.1118279569892473
0.4323589394969408,0.6666666666666667,0.5,0.0,1.0,0.0,1.0,0.2000080003200128,0.2177023847798684,0.3118279569892473
0.4493541808293677,0.6666666666666667,0.5,0.0,1.0,1.0,1.0,0.2000080003200128,0.1335411244931308,0.1935483870967742
0.2114208021753909,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.1794871794871795,0.0532565801383005,0.064516129032258
0.3252889191026512,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.1794871794871795,0.0941162194883165,0.1247311827956989
0.4323589394969408,1.0,0.5,0.0,1.0,0.0,1.0,0.1794871794871795,0.2101954059943557,0.3010752688172043
0.3643779741672331,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.1794871794871795,0.0819625932890796,0.1118279569892473
0.2861998640380693,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.1794871794871795,0.1120245970583554,0.1440860215053763
0.2046227056424201,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.1794871794871795,0.0803356877594116,0.0967741935483871
0.2148198504418762,0.3333333333333333,0.5,0.0,1.0,1.0,1.0,0.1794871794871795,0.0708100920025752,0.086021505376344
0.1075611148878314,0.3333333333333333,0.5,0.0,1.0,1.0,1.0,0.1794871794871795,0.0448529825461322,0.0496774193548387
0.2148198504418762,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.1794871794871795,0.0654993351023821,0.0795698924731182
0.177430319510537,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.1794871794871795,0.0639263453276713,0.075268817204301
0.3643779741672331,0.6666666666666667,0.5,0.0,1.0,0.0,1.0,0.1794871794871795,0.2521925947356296,0.3440860215053763
0.38137321549966,0.6666666666666667,0.5,0.0,1.0,1.0,0.0,0.1794871794871795,0.3736347472694945,0.5161290322580645
